,Mkt-RF,SMB,HML,RF
19280413,    1.40,    0.05,   -0.54,    0.01
19280414,   -0.44,    0.10,   -0.19,    0.01
19280416,    0.51,   -0.30,    0.24,    0.01
19280417,   -0.68,    0.15,   -0.27,    0.01
19280418,    0.03,    0.19,   -0.12,    0.01
19280419,    0.58,    0.62,    0.63,    0.01
19280420,   -1.33,    0.03,    0.12,    0.01
19280423,   -0.73,   -0.01,    0.32,    0.01
19280424,    0.36,    0.03,    0.00,    0.01
19280425,    0.73,   -0.07,    1.47,    0.01
19280426,    0.62,    0.14,    0.61,    0.01
19280427,    1.04,   -0.13,    0.46,    0.01
19280428,    0.50,   -0.17,   -0.06,    0.01
19280430,    0.06,    0.24,   -0.54,    0.01
